action_index,dt,frustration
0,0,0.100000
1,0,0.100000
2,0,0.100000
3,0,0.150000
4,0,0.150000
5,0,0.150000
6,0,0.150000
7,0,0.250000
8,0,0.350000
9,0,0.465000
10,0,0.465000
11,0,0.465000
12,0,0.465000
13,0,0.522500
14,0,0.580000
15,0,0.630000
16,0,0.630000
17,0,0.630000
18,0,0.680000
19,0,0.680000
20,0,0.680000
21,0,0.730000
22,0,0.780000
23,0,0.780000
24,0,0.830000
25,0,0.830000
26,0,0.830000
27,0,0.880000
28,0,1.000000
29,0,1.000000
30,0,1.000000
31,0,1.000000
32,0,1.000000
33,0,1.000000
34,0,1.000000
35,0,1.000000
36,0,1.000000
37,0,1.000000
38,0,1.000000
39,0,1.000000
40,0,1.000000
41,0,1.000000
42,0,1.000000
43,0,1.000000
0,1,0.100000
1,1,0.100000
2,1,0.100000
3,1,0.150000
4,1,0.149769
5,1,0.149540
6,1,0.149312
7,1,0.249084
8,1,0.348397
9,1,0.447423
10,1,0.446061
11,1,0.444466
12,1,0.442878
13,1,0.491297
14,1,0.539493
15,1,0.587467
16,1,0.585219
17,1,0.582982
18,1,0.630756
19,1,0.628309
20,1,0.625873
21,1,0.673449
22,1,0.720805
23,1,0.717943
24,1,0.765094
25,1,0.762027
26,1,0.758975
27,1,0.805937
28,1,0.952683
29,1,0.948751
30,1,0.994838
31,1,1.000000
32,1,1.000000
33,1,1.000000
34,1,1.000000
35,1,0.995851
36,1,0.991721
37,1,1.000000
38,1,0.995851
39,1,1.000000
40,1,1.000000
41,1,0.995851
42,1,0.991721
43,1,0.987609
0,5,0.100000
1,5,0.100000
2,5,0.100000
3,5,0.150000
4,5,0.148858
5,5,0.147742
6,5,0.146652
7,5,0.245586
8,5,0.342261
9,5,0.437550
10,5,0.430985
11,5,0.423425
12,5,0.416038
13,5,0.458820
14,5,0.500624
15,5,0.541474
16,5,0.531391
17,5,0.521538
18,5,0.561910
19,5,0.551360
20,5,0.541051
21,5,0.580977
22,5,0.619992
23,5,0.608115
24,5,0.646510
25,5,0.634027
26,5,0.621830
27,5,0.659912
28,5,0.797123
29,5,0.781201
30,5,0.815642
31,5,0.849297
32,5,0.882183
33,5,0.914318
34,5,0.945719
35,5,0.926403
36,5,0.907528
37,5,1.000000
38,5,0.979444
39,5,1.000000
40,5,1.000000
41,5,0.979444
42,5,0.959357
43,5,0.939730
0,15,0.100000
1,15,0.100000
2,15,0.100000
3,15,0.150000
4,15,0.146652
5,15,0.143528
6,15,0.140613
7,15,0.237893
8,15,0.328659
9,15,0.415576
10,15,0.397520
11,15,0.377596
12,15,0.359006
13,15,0.391661
14,15,0.422130
15,15,0.450558
16,15,0.427082
17,15,0.405178
18,15,0.434741
19,15,0.412325
20,15,0.391409
21,15,0.421894
22,15,0.450338
23,15,0.426877
24,15,0.454987
25,15,0.431215
26,15,0.409034
27,15,0.438339
28,15,0.565681
29,15,0.534496
30,15,0.555399
31,15,0.574903
32,15,0.593100
33,15,0.610078
34,15,0.625920
35,15,0.590701
36,15,0.557840
37,15,0.677180
38,15,0.638528
39,15,0.752464
40,15,0.758771
41,15,0.714655
42,15,0.673493
43,15,0.635088
0,30,0.100000
1,30,0.100000
2,30,0.100000
3,30,0.150000
4,30,0.143528
5,30,0.137893
6,30,0.132988
7,30,0.228717
8,30,0.312055
9,30,0.388484
10,30,0.356417
11,30,0.323224
12,30,0.294327
13,30,0.319172
14,30,0.340800
15,30,0.359629
16,30,0.326020
17,30,0.296762
18,30,0.321291
19,30,0.292645
20,30,0.267707
21,30,0.295998
22,30,0.320626
23,30,0.292066
24,30,0.317203
25,30,0.289086
26,30,0.264609
27,30,0.293301
28,30,0.418278
29,30,0.377077
30,30,0.391210
31,30,0.403513
32,30,0.414223
33,30,0.423547
34,30,0.431664
35,30,0.388730
36,30,0.351354
37,30,0.468817
38,30,0.421074
39,30,0.529511
40,30,0.523911
41,30,0.469036
42,30,0.421264
43,30,0.379677
0,60,0.100000
1,60,0.100000
2,60,0.100000
3,60,0.150000
4,60,0.137893
5,60,0.128717
6,60,0.121764
7,60,0.216494
8,60,0.288286
9,60,0.348754
10,60,0.296526
11,60,0.248939
12,60,0.212874
13,60,0.230543
14,60,0.248933
15,60,0.262870
16,60,0.223432
17,60,0.193544
18,60,0.220893
19,60,0.191620
20,60,0.169435
21,60,0.202622
22,60,0.227773
23,60,0.196834
24,60,0.223386
25,60,0.193509
26,60,0.170867
27,60,0.203707
28,60,0.328595
29,60,0.273243
30,60,0.281293
31,60,0.287395
32,60,0.292019
33,60,0.295523
34,60,0.298179
35,60,0.250191
36,60,0.213824
37,60,0.336262
38,60,0.279053
39,60,0.385697
40,60,0.366518
41,60,0.301983
42,60,0.253074
43,60,0.216009
0,150,0.100000
1,150,0.100000
2,150,0.100000
3,150,0.150000
4,150,0.125000
5,150,0.112500
6,150,0.106250
7,150,0.203125
8,150,0.251563
9,150,0.275781
10,150,0.187891
11,150,0.143945
12,150,0.121973
13,150,0.155986
14,150,0.177993
15,150,0.188997
16,150,0.144498
17,150,0.122249
18,150,0.161125
19,150,0.130562
20,150,0.115281
21,150,0.157641
22,150,0.178820
23,150,0.139410
24,150,0.169705
25,150,0.134853
26,150,0.117426
27,150,0.158713
28,150,0.279357
29,150,0.189678
30,150,0.194839
31,150,0.197420
32,150,0.198710
33,150,0.199355
34,150,0.199677
35,150,0.149839
36,150,0.124919
37,150,0.262460
38,150,0.181230
39,150,0.290615
40,150,0.245307
41,150,0.172654
42,150,0.136327
43,150,0.118163
0,300,0.100000
1,300,0.100000
2,300,0.100000
3,300,0.150000
4,300,0.112500
5,300,0.103125
6,300,0.100781
7,300,0.200195
8,300,0.225049
9,300,0.231262
10,300,0.132816
11,300,0.108204
12,300,0.102051
13,300,0.150513
14,300,0.162628
15,300,0.165657
16,300,0.116414
17,300,0.104104
18,300,0.151026
19,300,0.112756
20,300,0.103189
21,300,0.150797
22,300,0.162699
23,300,0.115675
24,300,0.153919
25,300,0.113480
26,300,0.103370
27,300,0.150842
28,300,0.262711
29,300,0.140678
30,300,0.160169
31,300,0.165042
32,300,0.166261
33,300,0.166565
34,300,0.166641
35,300,0.116660
36,300,0.104165
37,300,0.251041
38,300,0.137760
39,300,0.259440
40,300,0.189860
41,300,0.122465
42,300,0.105616
43,300,0.101404
0,600,0.100000
1,600,0.100000
2,600,0.100000
3,600,0.150000
4,600,0.103125
5,600,0.100195
6,600,0.100012
7,600,0.200001
8,600,0.206250
9,600,0.206641
10,600,0.106665
11,600,0.100417
12,600,0.100026
13,600,0.150002
14,600,0.153125
15,600,0.153320
16,600,0.103333
17,600,0.100208
18,600,0.150013
19,600,0.103126
20,600,0.100195
21,600,0.150012
22,600,0.153126
23,600,0.103320
24,600,0.150208
25,600,0.103138
26,600,0.100196
27,600,0.150012
28,600,0.253126
29,600,0.109570
30,600,0.150598
31,600,0.153162
32,600,0.153323
33,600,0.153333
34,600,0.153333
35,600,0.103333
36,600,0.100208
37,600,0.250013
38,600,0.109376
39,600,0.250586
40,600,0.159412
41,600,0.103713
42,600,0.100232
43,600,0.100015
