trajectory,dt,a6_sustained_frustration,t3_saturation_entry_net
astropy-12907,0,11,1
astropy-12907,1,11,1
astropy-12907,5,10,1
astropy-12907,15,0,0
astropy-12907,30,0,0
astropy-12907,60,0,0
astropy-12907,150,0,0
astropy-12907,300,0,0
astropy-12907,600,0,0
astropy-13033,0,47,1
astropy-13033,1,47,1
astropy-13033,5,47,1
astropy-13033,15,26,2
astropy-13033,30,0,0
astropy-13033,60,0,0
astropy-13033,150,0,0
astropy-13033,300,0,0
astropy-13033,600,0,0
astropy-13236,0,23,1
astropy-13236,1,22,1
astropy-13236,5,16,1
astropy-13236,15,3,1
astropy-13236,30,0,0
astropy-13236,60,0,0
astropy-13236,150,0,0
astropy-13236,300,0,0
astropy-13236,600,0,0
astropy-13398,0,41,1
astropy-13398,1,41,1
astropy-13398,5,15,2
astropy-13398,15,0,0
astropy-13398,30,0,0
astropy-13398,60,0,0
astropy-13398,150,0,0
astropy-13398,300,0,0
astropy-13398,600,0,0
astropy-13453,0,18,1
astropy-13453,1,18,1
astropy-13453,5,18,1
astropy-13453,15,12,1
astropy-13453,30,3,1
astropy-13453,60,0,0
astropy-13453,150,0,0
astropy-13453,300,0,0
astropy-13453,600,0,0
astropy-14096,0,11,1
astropy-14096,1,10,1
astropy-14096,5,9,1
astropy-14096,15,2,1
astropy-14096,30,0,0
astropy-14096,60,0,0
astropy-14096,150,0,0
astropy-14096,300,0,0
astropy-14096,600,0,0
astropy-14182,0,28,1
astropy-14182,1,26,1
astropy-14182,5,26,1
astropy-14182,15,5,1
astropy-14182,30,0,0
astropy-14182,60,0,0
astropy-14182,150,0,0
astropy-14182,300,0,0
astropy-14182,600,0,0
astropy-14309,0,5,1
astropy-14309,1,3,1
astropy-14309,5,0,0
astropy-14309,15,0,0
astropy-14309,30,0,0
astropy-14309,60,0,0
astropy-14309,150,0,0
astropy-14309,300,0,0
astropy-14309,600,0,0
astropy-14369,0,40,1
astropy-14369,1,40,1
astropy-14369,5,40,1
astropy-14369,15,17,2
astropy-14369,30,2,1
astropy-14369,60,1,1
astropy-14369,150,0,0
astropy-14369,300,0,0
astropy-14369,600,0,0
astropy-14508,0,11,1
astropy-14508,1,9,1
astropy-14508,5,8,1
astropy-14508,15,2,1
astropy-14508,30,0,0
astropy-14508,60,0,0
astropy-14508,150,0,0
astropy-14508,300,0,0
astropy-14508,600,0,0
astropy-7336,0,19,1
astropy-7336,1,19,1
astropy-7336,5,19,1
astropy-7336,15,17,1
astropy-7336,30,5,1
astropy-7336,60,0,0
astropy-7336,150,0,0
astropy-7336,300,0,0
astropy-7336,600,0,0
astropy-7671,0,12,1
astropy-7671,1,8,1
astropy-7671,5,3,1
astropy-7671,15,0,0
astropy-7671,30,0,0
astropy-7671,60,0,0
astropy-7671,150,0,0
astropy-7671,300,0,0
astropy-7671,600,0,0
astropy-8707,0,29,1
astropy-8707,1,29,1
astropy-8707,5,29,1
astropy-8707,15,28,1
astropy-8707,30,2,1
astropy-8707,60,0,0
astropy-8707,150,0,0
astropy-8707,300,0,0
astropy-8707,600,0,0
astropy-8872,0,11,1
astropy-8872,1,11,1
astropy-8872,5,8,1
astropy-8872,15,6,1
astropy-8872,30,0,0
astropy-8872,60,0,0
astropy-8872,150,0,0
astropy-8872,300,0,0
astropy-8872,600,0,0
django-10097,0,22,1
django-10097,1,22,1
django-10097,5,21,1
django-10097,15,7,1
django-10097,30,0,0
django-10097,60,0,0
django-10097,150,0,0
django-10097,300,0,0
django-10097,600,0,0
django-10554,0,22,1
django-10554,1,22,1
django-10554,5,22,1
django-10554,15,21,1
django-10554,30,4,1
django-10554,60,0,0
django-10554,150,0,0
django-10554,300,0,0
django-10554,600,0,0
django-10914,0,18,1
django-10914,1,18,1
django-10914,5,17,1
django-10914,15,11,1
django-10914,30,0,0
django-10914,60,0,0
django-10914,150,0,0
django-10914,300,0,0
django-10914,600,0,0
django-10973,0,17,1
django-10973,1,11,1
django-10973,5,10,1
django-10973,15,0,0
django-10973,30,0,0
django-10973,60,0,0
django-10973,150,0,0
django-10973,300,0,0
django-10973,600,0,0
django-11087,0,31,1
django-11087,1,23,1
django-11087,5,22,1
django-11087,15,0,0
django-11087,30,0,0
django-11087,60,0,0
django-11087,150,0,0
django-11087,300,0,0
django-11087,600,0,0
django-11095,0,13,1
django-11095,1,11,1
django-11095,5,9,1
django-11095,15,4,1
django-11095,30,0,0
django-11095,60,0,0
django-11095,150,0,0
django-11095,300,0,0
django-11095,600,0,0
