trajectory,dt,action_index,frustration
12907,0,0,0.100000
12907,0,1,0.150000
12907,0,2,0.150000
12907,0,3,0.150000
12907,0,4,0.200000
12907,0,5,0.200000
12907,0,6,0.200000
12907,0,7,0.350000
12907,0,8,0.407500
12907,0,9,0.465000
12907,0,10,0.465000
12907,0,11,0.465000
12907,0,12,0.465000
12907,0,13,0.465000
12907,0,14,0.465000
12907,0,15,0.565000
12907,0,16,0.665000
12907,0,17,0.780000
12907,0,18,0.895000
12907,0,19,1.000000
12907,0,20,1.000000
12907,0,21,1.000000
12907,0,22,1.000000
12907,0,23,1.000000
12907,0,24,1.000000
12907,0,25,1.000000
12907,0,26,1.000000
12907,0,27,1.000000
12907,5,0,0.100000
12907,5,1,0.150000
12907,5,2,0.148858
12907,5,3,0.147742
12907,5,4,0.196652
12907,5,5,0.194444
12907,5,6,0.192287
12907,5,7,0.340179
12907,5,8,0.384693
12907,5,9,0.428191
12907,5,10,0.420695
12907,5,11,0.413370
12907,5,12,0.406213
12907,5,13,0.399219
12907,5,14,0.392385
12907,5,15,0.485707
12907,5,16,0.576897
12907,5,17,0.667623
12907,5,18,0.756584
12907,5,19,0.843815
12907,5,20,0.829350
12907,5,21,0.812691
12907,5,22,0.796413
12907,5,23,0.830507
12907,5,24,0.813822
12907,5,25,0.797519
12907,5,26,0.781587
12907,5,27,0.766020
12907,15,0,0.100000
12907,15,1,0.150000
12907,15,2,0.146652
12907,15,3,0.143528
12907,15,4,0.190613
12907,15,5,0.184545
12907,15,6,0.178883
12907,15,7,0.323600
12907,15,8,0.358626
12907,15,9,0.391307
12907,15,10,0.371799
12907,15,11,0.353598
12907,15,12,0.336615
12907,15,13,0.320769
12907,15,14,0.305985
12907,15,15,0.392191
12907,15,16,0.472624
12907,15,17,0.551304
12907,15,18,0.625482
12907,15,19,0.695417
12907,15,20,0.661350
12907,15,21,0.623758
12907,15,22,0.588683
12907,15,23,0.605958
12907,15,24,0.572075
12907,15,25,0.540462
12907,15,26,0.510965
12907,15,27,0.483444
12907,60,0,0.100000
12907,60,1,0.150000
12907,60,2,0.137893
12907,60,3,0.128717
12907,60,4,0.171764
12907,60,5,0.154387
12907,60,6,0.141217
12907,60,7,0.281237
12907,60,8,0.287352
12907,60,9,0.291986
12907,60,10,0.245498
12907,60,11,0.210267
12907,60,12,0.183567
12907,60,13,0.163332
12907,60,14,0.147997
12907,60,15,0.236375
12907,60,16,0.303353
12907,60,17,0.360657
12907,60,18,0.397541
12907,60,19,0.425494
12907,60,20,0.346678
12907,60,21,0.286947
12907,60,22,0.241679
12907,60,23,0.252999
12907,60,24,0.215952
12907,60,25,0.187875
12907,60,26,0.166597
12907,60,27,0.150471
13033,0,0,0.100000
13033,0,1,0.100000
13033,0,2,0.150000
13033,0,3,0.200000
13033,0,4,0.200000
13033,0,5,0.250000
13033,0,6,0.250000
13033,0,7,0.250000
13033,0,8,0.350000
13033,0,9,0.450000
13033,0,10,0.565000
13033,0,11,0.680000
13033,0,12,0.795000
13033,0,13,0.852500
13033,0,14,0.910000
13033,0,15,0.960000
13033,0,16,1.000000
13033,0,17,1.000000
13033,0,18,1.000000
13033,0,19,1.000000
13033,0,20,1.000000
13033,0,21,1.000000
13033,0,22,1.000000
13033,0,23,1.000000
13033,0,24,1.000000
13033,0,25,1.000000
13033,0,26,1.000000
13033,0,27,1.000000
13033,0,28,1.000000
13033,0,29,1.000000
13033,0,30,1.000000
13033,0,31,1.000000
13033,0,32,1.000000
13033,0,33,1.000000
13033,0,34,1.000000
13033,0,35,1.000000
13033,0,36,1.000000
13033,0,37,1.000000
13033,0,38,1.000000
13033,0,39,1.000000
13033,0,40,1.000000
13033,0,41,1.000000
13033,0,42,1.000000
13033,0,43,1.000000
13033,0,44,1.000000
13033,0,45,1.000000
13033,0,46,1.000000
13033,0,47,1.000000
13033,0,48,1.000000
13033,0,49,1.000000
13033,0,50,1.000000
13033,0,51,1.000000
13033,0,52,1.000000
13033,0,53,1.000000
13033,0,54,1.000000
13033,0,55,1.000000
13033,0,56,1.000000
13033,0,57,1.000000
13033,0,58,1.000000
13033,5,0,0.100000
13033,5,1,0.100000
13033,5,2,0.150000
13033,5,3,0.198858
13033,5,4,0.196600
13033,5,5,0.244394
13033,5,6,0.241096
13033,5,7,0.237873
13033,5,8,0.334724
13033,5,9,0.429363
13033,5,10,0.522958
13033,5,11,0.614732
13033,5,12,0.704722
13033,5,13,0.742962
13033,5,14,0.778276
13033,5,15,0.812784
13033,5,16,0.846504
13033,5,17,0.879454
13033,5,18,0.911651
13033,5,19,0.943113
13033,5,20,0.973857
13033,5,21,1.000000
13033,5,22,1.000000
13033,5,23,1.000000
13033,5,24,1.000000
13033,5,25,1.000000
13033,5,26,1.000000
13033,5,27,1.000000
13033,5,28,1.000000
13033,5,29,0.979444
13033,5,30,1.000000
13033,5,31,0.979444
13033,5,32,0.959357
13033,5,33,0.939730
13033,5,34,0.920550
13033,5,35,0.901809
13033,5,36,0.933496
13033,5,37,0.964458
13033,5,38,0.994714
13033,5,39,0.974279
13033,5,40,1.000000
13033,5,41,1.000000
13033,5,42,1.000000
13033,5,43,1.000000
13033,5,44,0.979444
13033,5,45,1.000000
13033,5,46,0.979444
13033,5,47,1.000000
13033,5,48,1.000000
13033,5,49,1.000000
13033,5,50,1.000000
13033,5,51,1.000000
13033,5,52,1.000000
13033,5,53,1.000000
13033,5,54,1.000000
13033,5,55,1.000000
13033,5,56,0.979444
13033,5,57,1.000000
13033,5,58,0.979444
13033,15,0,0.100000
13033,15,1,0.100000
13033,15,2,0.150000
13033,15,3,0.196652
13033,15,4,0.190179
13033,15,5,0.234140
13033,15,6,0.225157
13033,15,7,0.216776
13033,15,8,0.308956
13033,15,9,0.394963
13033,15,10,0.478086
13033,15,11,0.556454
13033,15,12,0.630338
13033,15,13,0.649994
13033,15,14,0.663163
13033,15,15,0.675449
13033,15,16,0.686913
13033,15,17,0.697609
13033,15,18,0.707589
13033,15,19,0.716901
13033,15,20,0.725589
13033,15,21,0.733695
13033,15,22,0.741258
13033,15,23,0.748315
13033,15,24,0.754899
13033,15,25,0.761043
13033,15,26,0.766775
13033,15,27,0.772123
13033,15,28,0.877113
13033,15,29,0.825072
13033,15,30,0.826516
13033,15,31,0.777863
13033,15,32,0.732469
13033,15,33,0.690114
13033,15,34,0.650596
13033,15,35,0.608411
13033,15,36,0.614457
13033,15,37,0.630006
13033,15,38,0.644513
13033,15,39,0.608048
13033,15,40,0.624026
13033,15,41,0.638934
13033,15,42,0.652843
13033,15,43,0.665821
13033,15,44,0.627929
13033,15,45,0.642575
13033,15,46,0.606241
13033,15,47,0.622339
13033,15,48,0.737360
13033,15,49,0.744678
13033,15,50,0.751506
13033,15,51,0.757876
13033,15,52,0.863820
13033,15,53,0.862669
13033,15,54,0.861596
13033,15,55,0.860594
13033,15,56,0.809659
13033,15,57,0.812136
13033,15,58,0.764446
13033,60,0,0.100000
13033,60,1,0.100000
13033,60,2,0.150000
13033,60,3,0.187893
13033,60,4,0.166610
13033,60,5,0.200481
13033,60,6,0.176151
13033,60,7,0.157711
13033,60,8,0.243737
13033,60,9,0.308932
13033,60,10,0.365065
13033,60,11,0.400882
13033,60,12,0.428026
13033,60,13,0.398597
13033,60,14,0.376294
13033,60,15,0.359392
13033,60,16,0.346582
13033,60,17,0.336874
13033,60,18,0.329517
13033,60,19,0.323942
13033,60,20,0.319716
13033,60,21,0.316514
13033,60,22,0.314087
13033,60,23,0.312247
13033,60,24,0.310853
13033,60,25,0.309797
13033,60,26,0.308996
13033,60,27,0.308390
13033,60,28,0.407930
13033,60,29,0.333367
13033,60,30,0.326859
13033,60,31,0.271927
13033,60,32,0.230296
13033,60,33,0.198746
13033,60,34,0.174836
13033,60,35,0.156715
13033,60,36,0.192982
13033,60,37,0.220467
13033,60,38,0.241297
13033,60,39,0.207083
13033,60,40,0.231154
13033,60,41,0.249396
13033,60,42,0.263221
13033,60,43,0.273698
13033,60,44,0.231639
13033,60,45,0.249764
13033,60,46,0.213500
13033,60,47,0.236017
13033,60,48,0.353081
13033,60,49,0.341800
13033,60,50,0.333250
13033,60,51,0.326770
13033,60,52,0.421860
13033,60,53,0.393924
13033,60,54,0.372753
13033,60,55,0.356708
13033,60,56,0.294548
13033,60,57,0.297440
13033,60,58,0.249632
13236,0,0,0.100000
13236,0,1,0.100000
13236,0,2,0.100000
13236,0,3,0.150000
13236,0,4,0.150000
13236,0,5,0.150000
13236,0,6,0.150000
13236,0,7,0.250000
13236,0,8,0.350000
13236,0,9,0.465000
13236,0,10,0.465000
13236,0,11,0.465000
13236,0,12,0.465000
13236,0,13,0.522500
13236,0,14,0.580000
13236,0,15,0.630000
13236,0,16,0.630000
13236,0,17,0.630000
13236,0,18,0.680000
13236,0,19,0.680000
13236,0,20,0.680000
13236,0,21,0.730000
13236,0,22,0.780000
13236,0,23,0.780000
13236,0,24,0.830000
13236,0,25,0.830000
13236,0,26,0.830000
13236,0,27,0.880000
13236,0,28,1.000000
13236,0,29,1.000000
13236,0,30,1.000000
13236,0,31,1.000000
13236,0,32,1.000000
13236,0,33,1.000000
13236,0,34,1.000000
13236,0,35,1.000000
13236,0,36,1.000000
13236,0,37,1.000000
13236,0,38,1.000000
13236,0,39,1.000000
13236,0,40,1.000000
13236,0,41,1.000000
13236,0,42,1.000000
13236,0,43,1.000000
13236,5,0,0.100000
13236,5,1,0.100000
13236,5,2,0.100000
13236,5,3,0.150000
13236,5,4,0.148858
13236,5,5,0.147742
13236,5,6,0.146652
13236,5,7,0.245586
13236,5,8,0.342261
13236,5,9,0.437550
13236,5,10,0.430985
13236,5,11,0.423425
13236,5,12,0.416038
13236,5,13,0.458820
13236,5,14,0.500624
13236,5,15,0.541474
13236,5,16,0.531391
13236,5,17,0.521538
