trajectory,dt,action_index,frustration
astropy-12907,0,0,0.100000
astropy-12907,0,1,0.150000
astropy-12907,0,2,0.150000
astropy-12907,0,3,0.150000
astropy-12907,0,4,0.200000
astropy-12907,0,5,0.200000
astropy-12907,0,6,0.200000
astropy-12907,0,7,0.350000
astropy-12907,0,8,0.407500
astropy-12907,0,9,0.465000
astropy-12907,0,10,0.465000
astropy-12907,0,11,0.465000
astropy-12907,0,12,0.465000
astropy-12907,0,13,0.465000
astropy-12907,0,14,0.465000
astropy-12907,0,15,0.565000
astropy-12907,0,16,0.665000
astropy-12907,0,17,0.780000
astropy-12907,0,18,0.895000
astropy-12907,0,19,1.000000
astropy-12907,0,20,1.000000
astropy-12907,0,21,1.000000
astropy-12907,0,22,1.000000
astropy-12907,0,23,1.000000
astropy-12907,0,24,1.000000
astropy-12907,0,25,1.000000
astropy-12907,0,26,1.000000
astropy-12907,0,27,1.000000
astropy-12907,5,0,0.100000
astropy-12907,5,1,0.150000
astropy-12907,5,2,0.148858
astropy-12907,5,3,0.147742
astropy-12907,5,4,0.196652
astropy-12907,5,5,0.194444
astropy-12907,5,6,0.192287
astropy-12907,5,7,0.340179
astropy-12907,5,8,0.384693
astropy-12907,5,9,0.428191
astropy-12907,5,10,0.420695
astropy-12907,5,11,0.413370
astropy-12907,5,12,0.406213
astropy-12907,5,13,0.399219
astropy-12907,5,14,0.392385
astropy-12907,5,15,0.485707
astropy-12907,5,16,0.576897
astropy-12907,5,17,0.667623
astropy-12907,5,18,0.756584
astropy-12907,5,19,0.843815
astropy-12907,5,20,0.829350
astropy-12907,5,21,0.812691
astropy-12907,5,22,0.796413
astropy-12907,5,23,0.830507
astropy-12907,5,24,0.813822
astropy-12907,5,25,0.797519
astropy-12907,5,26,0.781587
astropy-12907,5,27,0.766020
astropy-12907,15,0,0.100000
astropy-12907,15,1,0.150000
astropy-12907,15,2,0.146652
astropy-12907,15,3,0.143528
astropy-12907,15,4,0.190613
astropy-12907,15,5,0.184545
astropy-12907,15,6,0.178883
astropy-12907,15,7,0.323600
astropy-12907,15,8,0.358626
astropy-12907,15,9,0.391307
astropy-12907,15,10,0.371799
astropy-12907,15,11,0.353598
astropy-12907,15,12,0.336615
